Gene,Gain,High-level Gain,Total Samples,Loss,High-level Loss,No Change,Net CNV
DSCAM,11,2,193,4,0,173,7
UGT2B17,8,2,193,0,0,0,8
ARL17B_ENST00000570618,7,2,193,0,0,0,7
HLA-DRB1,7,0,193,7,0,173,0
HLA-DRB5,7,0,193,7,0,173,0
SIRPB1,6,0,193,6,0,173,0
KANSL1_ENST00000574590,6,0,193,0,0,0,6
KANSL1_ENST00000572904,6,0,193,0,0,0,6
SIRPB1_ENST00000262929,6,0,193,0,0,0,6
KANSL1_ENST00000575318,6,0,193,0,0,0,6
SIRPB1_ENST00000568365,6,0,193,0,0,0,6
AL049634.2_ENST00000564763,6,0,193,0,0,0,6
SIRPB1_ENST00000381603,6,0,193,0,0,0,6
SIRPB1_ENST00000279477,6,0,193,0,0,0,6
CD99,5,1,193,4,0,173,1
CD99_ENST00000381184,5,1,193,0,0,0,5
CD99_ENST00000482405,5,1,193,0,0,0,5
CD99_ENST00000611428,5,1,193,0,0,0,5
CD99_ENST00000381187,5,1,193,0,0,0,5
CD99_ENST00000624481,5,1,193,0,0,0,5
ERG,5,0,193,23,0,173,-18
ETS2,5,0,193,10,0,173,-5
KCNJ15,5,0,193,6,0,173,-1
ERG_ENST00000398907,5,0,193,0,0,0,5
KANSL1_ENST00000638275,5,0,193,0,0,0,5
ERG_ENST00000398919,5,0,193,0,0,0,5
ERG_ENST00000453032,5,0,193,0,0,0,5
KCNJ15_ENST00000398930,5,0,193,0,0,0,5
ERG_ENST00000398911,5,0,193,0,0,0,5
ERG_ENST00000398897,5,0,193,0,0,0,5
ERG_ENST00000442448,5,0,193,0,0,0,5
KCNJ15_ENST00000398938,5,0,193,0,0,0,5
ETS2_ENST00000360938,5,0,193,0,0,0,5
KANSL1,5,0,193,0,0,0,5
KANSL1_ENST00000262419,5,0,193,0,0,0,5
ERG_ENST00000429727,5,0,193,0,0,0,5
ERG_ENST00000288319,5,0,193,0,0,0,5
KCNJ15_ENST00000398934,5,0,193,0,0,0,5
KCNJ15_ENST00000612702,5,0,193,0,0,0,5
KCNJ15_ENST00000613499,5,0,193,0,0,0,5
ERG_ENST00000398905,5,0,193,0,0,0,5
ERG_ENST00000398910,5,0,193,0,0,0,5
KCNJ15_ENST00000398932,5,0,193,0,0,0,5
DSCAM_ENST00000617870,4,2,193,0,0,0,4
MUC16,4,1,193,12,0,173,-8
SH3BGR,4,0,193,19,0,173,-15
FAM129A,4,0,193,9,0,173,-5
WRB,4,0,193,8,0,173,-4
BRWD1,4,0,193,8,0,173,-4
F13A1,4,0,193,8,0,173,-4
LCA5L,4,0,193,8,0,173,-4
NRAP,4,0,193,7,0,173,-3
HMGN1,4,0,193,6,0,173,-2
B3GALT5,4,0,193,5,0,173,-1
PSMG1,4,0,193,5,0,173,-1
IGSF5,4,0,193,4,0,173,0
HMGN1_ENST00000380748,4,0,193,0,0,0,4
B3GALT5_ENST00000380620,4,0,193,0,0,0,4
WRB_ENST00000380708,4,0,193,0,0,0,4
SH3BGR_ENST00000380637,4,0,193,0,0,0,4
LCA5L_ENST00000485895,4,0,193,0,0,0,4
NRAP_ENST00000359988,4,0,193,0,0,0,4
BRWD1_ENST00000380800,4,0,193,0,0,0,4
NRAP_ENST00000360478,4,0,193,0,0,0,4
HMGN1_ENST00000380747,4,0,193,0,0,0,4
BRWD1_ENST00000341322,4,0,193,0,0,0,4
B3GALT5_ENST00000343118,4,0,193,0,0,0,4
SH3BGR_ENST00000380631,4,0,193,0,0,0,4
LCA5L_ENST00000288350,4,0,193,0,0,0,4
BRWD1_ENST00000342449,4,0,193,0,0,0,4
PSMG1_ENST00000380900,4,0,193,0,0,0,4
NRAP_ENST00000369360,4,0,193,0,0,0,4
PCP4,4,0,193,0,0,0,4
SH3BGR_ENST00000380634,4,0,193,0,0,0,4
SH3BGR_ENST00000458295,4,0,193,0,0,0,4
B3GALT5_ENST00000380618,4,0,193,0,0,0,4
B3GALT5_ENST00000615480,4,0,193,0,0,0,4
WRB_ENST00000398753,4,0,193,0,0,0,4
LCA5L_ENST00000380671,4,0,193,0,0,0,4
TMPRSS2,3,1,193,11,0,173,-8
DHRSX,3,1,193,5,2,173,-2
XG,3,1,193,2,0,173,1
TMPRSS2_ENST00000332149,3,1,193,0,0,0,3
XG_ENST00000509484,3,1,193,0,0,0,3
CD99_ENST00000381180,3,1,193,0,0,0,3
TMPRSS2_ENST00000458356,3,1,193,0,0,0,3
ZNF705G,3,1,193,0,0,0,3
XG_ENST00000419513,3,1,193,0,0,0,3
XG_ENST00000381174,3,1,193,0,0,0,3
USP17L1,3,1,193,0,0,0,3
USP17L4,3,1,193,0,0,0,3
MX1,3,0,193,24,0,173,-21
